Unnamed: 0,Author,Category,Gender,Quote,Quote_tok,SA,num,count,counts
53, Thomas Hobbes,philosophy,M,Leisure is the mother of philosophy ,Leisure mother philosophy,0.0,,2,2
54, Ludwig Wittgenstein,philosophy,M,Philosophy is a battle against the bewitchment of our intelligence by means of language ,Philosophy battle bewitchment intelligence means language,0.128,,3,3
55, William James,philosophy,M,"There is only one thing a philosopher can be relied upon to do, and that is to contradict other philosophers ",There one thing philosopher relied upon contradict philosophers,-0.3182,,2,2
56, Aristotle,philosophy,M,"We are what we repeatedly do. Excellence, then, is not an act, but a habit ",We repeatedly Excellence act habit,0.6249,,4,4
57, G. W. F. Hegel,philosophy,M,"Only one man ever understood me, and he didn�t understand me ",Only one man ever understood understand,0.0,,3,3
58, John Locke,philosophy,M,The mind is furnished with ideas by experience alone ,The mind furnished ideas experience alone,-0.25,,5,5
59, S�ren Kierkegaard,philosophy,M,Life must be understood backward. But it must be lived forward  ,Life must understood backward But must lived forward,0.0,,2,2
60, Bertrand Russell,philosophy,M,Science is what you know. Philosophy is what you don't know ,Science know Philosophy know,0.0,,4,4
61, Immanuel Kant,philosophy,M,"Metaphysics is a dark ocean without shores or lighthouse, strewn with many a philosophic wreck ",Metaphysics dark ocean without shores lighthouse strewn many philosophic wreck,-0.4404,,3,3
62, William James,philosophy,M,Philosophy is at once the most sublime and the most trivial of human pursuits ,Philosophy sublime trivial human pursuits,-0.0258,,2,2
63, Thucydides,philosophy,M,History is Philosophy teaching by examples ,History Philosophy teaching examples,0.0,,1,1
64, Aristotle,philosophy,M,"He who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god ",He unable live society need sufficient must either beast god,0.2732,,4,4
65, Plato,philosophy,M,You can discover more about a person in an hour of play than in a year of conversation ,You discover person hour play year conversation,0.34,,2,2
66, Francis Bacon,philosophy,M,"Things alter for the worse spontaneously, if they be not altered for the better designedly ",Things alter worse spontaneously altered better designedly,-0.0516,,1,1
67,Edmund Burke,philosophy,M,All that is necessary for the triumph of evil is that good men do nothing ,All necessary triumph evil good men nothing,0.1531,,1,1
68, Friedrich Nietzsche,philosophy,M,Is man merely a mistake of God's? Or God merely a mistake of man's? ,Is man merely mistake God Or God merely mistake man,-0.1531,,2,2
69, Bertrand Russell,philosophy,M,I would never die for my beliefs because I might be wrong ,I would never die beliefs I might wrong,0.0119,,4,4
70, Karl Marx,philosophy,M,Religion is the sign of the oppressed ... it is the opium of the people ,Religion sign oppressed opium people,-0.4767,,2,2
71, Aristotle,philosophy,M,Happiness is the highest good ,Happiness highest good,0.7579,,4,4
72, Baruch Spinoza,philosophy,M,"If men were born free, they would, so long as they remained free, form no conception of good and evil ",If men born free would long remained free form conception good evil,0.6249,,1,1
73, Epicurus,philosophy,M,"The greater the difficulty, the more glory in surmounting it ",The greater difficulty glory surmounting,0.5574,,1,1
74, G. W. F. Hegel,philosophy,M,"Whatever is reasonable is true, and whatever is true is reasonable ",Whatever reasonable true whatever true reasonable,0.6808,,3,3
75, Immanuel Kant,philosophy,M,"Morality is not the doctrine of how we may make ourselves happy, but of how we may make ourselves worthy of happiness ",Morality doctrine may make happy may make worthy happiness,0.8807,,3,3
76, Jean-Paul Sartre,philosophy,M,Man is condemned to be free ,Man condemned free,0.1027,,2,2
77, John Locke,philosophy,M,"It is one thing to show a man that he is in error, and another to put him in possession of truth ",It one thing show man error another put possession truth,-0.1027,,5,5
78, Ludwig Wittgenstein,philosophy,M,"I don�t know why we are here, but I�m pretty sure it is not in order to enjoy ourselves ",I know I pretty sure order enjoy,0.8271,,3,3
79, Plato,philosophy,M,"That man is wisest who, like Socrates, realizes that his wisdom is worthless ",That man wisest like Socrates realizes wisdom worthless,0.7269,,2,2
80, Socrates,philosophy,M,The only thing I know is that I know nothing ,The thing I know I know nothing,0.0,,3,3
81, Voltaire (in parody of Leibniz),philosophy,M,All is for the best in the best of all possible worlds ,All best best possible worlds,0.8555,,1,1
82, S�ren Kierkegaard,philosophy,M,"The function of prayer is not to influence God, but rather to change the nature of the one who prays ",The function prayer influence God rather change nature one prays,0.5423,,2,2
83, Jean-Jacques Rousseau,philosophy,M,"Man is born free, but is everywhere in chains ",Man born free everywhere chains,0.5106,,1,1
84, Denis Diderot,philosophy,M,Man will never be free until the last king is strangled with the entrails of the last priest ,Man never free last king strangled entrails last priest,-0.7353,,1,1
85, Ren� Descartes,philosophy,M,"If you would be a real seeker after truth, it is necessary that at least once in your life you doubt, as far as possible, all things ",If would real seeker truth necessary least life doubt far possible things,-0.0516,,3,3
86, Aristotle,philosophy,M,"Happiness lies in virtuous activity, and perfect happiness lies in the best activity, which is contemplative ",Happiness lies virtuous activity perfect happiness lies best activity contemplative,0.9313,,4,4
87, Spinoza,philosophy,M,I can control my passions and emotions if I can understand their nature ,I control passions emotions I understand nature,0.4939,,1,1
88, Karl Marx,philosophy,M,"Philosophers have hitherto only interpreted the world in various ways; the point, however, is to change it ",Philosophers hitherto interpreted world various ways point however change,0.0,,2,2
89, W. K. Clifford,philosophy,M,"It is wrong always, everywhere and for everyone, to believe anything upon insufficient evidence ",It wrong always everywhere everyone believe anything upon insufficient evidence,-0.4767,,1,1
90, Seneca the Younger,philosophy,M,Virtue is nothing else than right reason ,Virtue nothing else right reason,0.4215,,2,2
91, Epictetus,philosophy,M,"Freedom is secured not by the fulfilling of one's desires, but by the removal of desire ",Freedom secured fulfilling one desires removal desire,0.8625,,1,1
92, Anaxagoras,philosophy,M,"In everything, there is a share of everything ",In everything share everything,0.296,,1,1
93, Sir Francis Bacon,philosophy,M,A little philosophy inclineth man's mind to atheism; but depth in philosophy bringeth men�s minds about to religion ,A little philosophy inclineth man mind atheism depth philosophy bringeth men minds religion,0.0,,1,1
94, Democritus,philosophy,M,The brave man is he who overcomes not only his enemies but his pleasures ,The brave man overcomes enemies pleasures,0.4767,,1,1
95, John Locke,philosophy,M,"Good and evil, reward and punishment, are the only motives to a rational creature ",Good evil reward punishment motives rational creature,-0.25,,5,5
96, John Stuart Mill,philosophy,M,"To do as one would be done by, and to love one's neighbor as oneself, constitute the ideal perfection of utilitarian morality ",To one would done love one neighbor oneself constitute ideal perfection utilitarian morality,0.9062,,2,2
97, Jean-Paul Sartre,philosophy,M,"Everything that exists is born for no reason, carries on living through weakness, and dies by accident ",Everything exists born reason carries living weakness dies accident,-0.7096,,2,2
98, Protagoras,philosophy,M,Man is the measure of all things ,Man measure things,0.0,,1,1
99, St. Augustine,philosophy,M,We are too weak to discover the truth by reason alone ,We weak discover truth reason alone,-0.3818,,1,1
100, John Locke,philosophy,M,The mind is furnished with ideas by experience alone ,The mind furnished ideas experience alone,-0.25,,5,5
101,Hipatia de Alejandr�a,philosophy,F,"Defiende tu derecho a pensar, porque incluso pensar de manera err�nea es mejor que no pensar",Defiende tu derecho pensar porque incluso pensar de manera err nea es mejor que pensar,0.0,,1,1
102,Hildegard von Bingen,philosophy,F,"�Oh, fuerza de la sabidur�a que todo contienes y comprendes",Oh fuerza de la sabidur que todo contienes comprendes,0.0,,1,1
